submission time,team,problem,language,points,time,memory
2024-01-28 20:37:44.378000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2100,1.832
2024-01-28 18:40:58.569000+00:00,Acidic Drums Keep Victorious Zebras,chino,Python,60,2100,3.28
2024-01-28 18:49:49.159000+00:00,Acidic Drums Keep Victorious Zebras,megu,Python,10,102,3.632
2024-01-28 20:40:18.283000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2099,1.8
2024-01-28 20:40:24.630000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2099,1.812
2024-01-28 20:38:02.386000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2099,1.832
2024-01-28 18:16:37.460000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2100,1.828
2024-01-28 20:35:31.115000+00:00,Sammy,cocoa,Python,0,2100,128
2024-01-28 20:39:28.643000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2099,1.804
2024-01-28 20:27:34.661000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2088,1.824
2024-01-28 20:39:16.178000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2100,1.78
2024-01-28 20:40:32.128000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2100,1.768
2024-01-28 20:39:47.213000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2100,1.82
2024-01-28 19:28:21.850000+00:00,Sammy,cocoa,Python,0,2100,3.788
2024-01-28 18:35:12.136000+00:00,Acidic Drums Keep Victorious Zebras,rize,C++,0,72,2.404
2024-01-28 18:41:24.238000+00:00,admin,maya,Python,100,97,6.64
2024-01-28 18:10:14.387000+00:00,Acidic Drums Keep Victorious Zebras,syaro,C++,100,1,1.816
2024-01-28 18:50:38.698000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,100,47,3.448
2024-01-28 19:15:39.455000+00:00,Sammy,cocoa,Python,0,2100,3.788
2024-01-28 19:33:36.153000+00:00,Sammy,cocoa,Python,0,11,3.8
2024-01-28 20:26:42.858000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,0,0
2024-01-28 18:36:44.280000+00:00,jam,maya,Java,40,892,85.72
2024-01-28 20:34:20.072000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2099,1.86
2024-01-28 20:37:24.912000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,20,2099,1.784
2024-01-28 19:28:06.188000+00:00,Sammy,cocoa,Python,0,2100,3.816
2024-01-28 17:52:45.033000+00:00,Sammy,maya,Java,0,0,0
2024-01-28 18:29:01.645000+00:00,jam,maya,Java,0,890,87.488
2024-01-28 18:03:35.506000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,90,53,3.192
2024-01-28 19:27:37.012000+00:00,jam,megu,Java,50,2086,27.532
2024-01-28 17:55:25.547000+00:00,Acidic Drums Keep Victorious Zebras,chino,Python,0,13,7.792
2024-01-28 20:55:13.347000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,60,2,1.816
2024-01-28 20:35:42.736000+00:00,Sammy,cocoa,Python,0,2101,128
2024-01-28 20:39:39.469000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2100,1.82
2024-01-28 19:32:52.595000+00:00,Sammy,cocoa,Python,0,11,3.836
2024-01-28 18:24:35.533000+00:00,admin,syaro,C++,100,2,1.336
2024-01-28 17:57:05.457000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,0,49,3.428
2024-01-28 20:55:19.151000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,60,2,1.816
2024-01-28 18:28:41.001000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,20,2,1.284
2024-01-28 18:52:22.783000+00:00,jam,maya,Java,100,896,90.444
2024-01-28 19:55:59.294000+00:00,admin,megu,C++,0,18,1.456
2024-01-28 20:41:38.261000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2,1.832
2024-01-28 17:50:13.088000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,10,6,2.592
2024-01-28 20:49:30.342000+00:00,jam,chino,Java,0,0,0
2024-01-28 20:42:34.795000+00:00,jam,chino,Java,40,92,16.608
2024-01-28 20:21:56.198000+00:00,admin,chino,C++,40,2100,1.796
2024-01-28 18:04:22.231000+00:00,Sammy,maya,Java,0,2077,76.884
2024-01-28 18:09:24.083000+00:00,Acidic Drums Keep Victorious Zebras,syaro,C++,0,2,1.82
2024-01-28 19:39:58.053000+00:00,Sammy,cocoa,Python,0,11,3.792
2024-01-28 19:52:16.667000+00:00,admin,megu,C++,0,21,1.3
2024-01-28 20:39:52.063000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,20,2099,1.916
2024-01-28 18:23:32.932000+00:00,admin,syaro,C++,0,0,0
2024-01-28 20:35:16.765000+00:00,Sammy,cocoa,Python,0,12,3.844
2024-01-28 19:45:30.234000+00:00,Sammy,cocoa,Python,30,2101,3.848
2024-01-28 22:26:38.145000+00:00,admin,maya,Python,100,90,6.664
2024-01-28 22:30:13.697000+00:00,admin,megu,C++,0,0,0
2024-01-28 18:10:02.232000+00:00,Acidic Drums Keep Victorious Zebras,syaro,C++,0,0,0
2024-01-28 20:37:52.948000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2099,1.816
2024-01-28 20:33:09.399000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,10,2101,1.824
2024-01-28 20:31:03.282000+00:00,admin,chino,C++,20,1797,1.748
2024-01-28 18:35:21.791000+00:00,jam,maya,Java,40,978,86.208
